ID,Owner,Secret,Server,Title,Description,Year,Month,Day,Time,Hashtags,Latitude,Longitude,Distance
23478091524,23392528@N02,05b376cac9,1676,Elbphilharmonie,,2016,1,1,15:55:37,germany deutschland harbor harbour crane hamburg hafen kran hamburgerhafen hafencity hanse hansestadt,53.542373,9.98228,0.9370381590261257
23667339084,100014906@N08,e0ac05bdd8,1555,IMG_6518.jpg,,2016,1,10,16:28:31,winter de deutschland wasser hamburg jahreszeiten natur orte hafen landungsbrücken verkehr städte elbe schiffe landschaften sehenswürdigkeiten flüsse fähren elbphilharmonie hamburgfreieundhansestadt,53.545272,9.966325,0.9694667751091125
23807302693,130817067@N06,e3784cfa18,1595,Hamburg Elbphilharmonie,View on the Elbphilharmonie in Hamburg. shot while joining a boat tour in hamburg harbor with a Bronica 645RF.,2016,1,17,11:07:19,film analog hamburg bronicarf645 elbphilharmonie kodakektar frontiersp3000 meinfilmlab wwwmeinfilmlabde,0.0,0.0,0.90452339710132
23878505104,111642264@N04,e178916255,1646,Noch ein Jahr....,...bis zur Eröffnung!,2016,1,20,21:08:04,hamburg grasbrook hamburgerhafen hafencity kaispeichera elbphilharmonie konzertsaal 789mio,0.0,0.0,0.9183243692515938
23999714030,75228329@N02,da87d1c511,1704,DSC_3219,,2016,1,10,16:23:37,harbour hamburg hafen elbe elbphilarmonie,0.0,0.0,0.9045537251927608
24067322431,23733615@N07,5060a098aa,1644,Hamburg,Impressionen aus Hamburg -,2016,1,3,15:51:05,hamburg 2015 riesenfotos,0.0,0.0,0.7859108925629966
24105885240,138576623@N02,e2db13c3ac,1491,.,".
",2016,1,15,20:56:33,germany deutschland hamburg германия гамбург німеччина,0.0,0.0,0.7490754134834032
24141796170,27556454@N07,55ba92a6eb,1504,Elbe,,2016,1,17,14:30:30,hamburg michel elbe stmichaelis elbphilharmonie,0.0,0.0,0.8207351700938835
24173014245,138937032@N05,d86892e1ec,1515,Speicherstadt HH,,2016,1,4,16:37:04,wasser hamburg herbst hafen städte elbe,0.0,0.0,0.8468477520844135
24248752871,47184557@N08,5601934826,1615,Elbphilharmonie,,2016,1,12,08:01:48,sky building architecture clouds germany arquitectura hamburg edificio cielo nubes alemania hamburgo philharmonic elbphilharmonie filarmónica,53.550099,10.005798,0.9656271036935683
24432898762,54352221@N06,7252390295,1707,Hamburg Elbphilharmonie 01,,2016,1,22,19:36:50,urban germany hamburg herzogdemeuron hafencity,53.541461,9.983879,0.8691146860840109
24541189025,54352221@N06,b72d734487,1539,Hamburg Elbphilharmonie 02,,2016,1,22,19:36:51,urban germany hamburg herzogdemeuron hafencity,53.541461,9.983879,0.8966693240367808
24606877233,132973166@N08,b661f5ee61,1698,Elbphilharmonie  - 4,Hamburg Hafen,2016,2,24,12:55:20,hamburg architektur hafen schiff elbe norderelbe elbphilharmony musicalstadt,0.0,0.0,0.9279268151385691
24644258644,37118559@N05,c5a6b0a377,1466,Hamburg Hafen,,2016,2,26,14:31:55,hamburg,0.0,0.0,0.8141556980257856
24761390262,35643665@N08,b6a4e5e499,1536,Fast fertig,,2016,2,7,19:26:05,hamburg hafen elbphilharmonie,0.0,0.0,0.970826238196646
24770489069,132973166@N08,aca0fa0d70,1462,Glass Facade,"Elbphilharmonie, Hamburg",2016,2,20,01:30:10,glass facade hamburg elbphilharmonie,0.0,0.0,0.9949351511475959
24774215520,131828291@N05,6a27459ccb,1576,Elbphilharmonie,,2016,2,16,17:36:31,architecture clouds hamburg bunker huge elbphilharmonie,0.0,0.0,0.9918015675129374
24796408990,107622148@N08,c53907db96,1445,Elbphilharmonie - Hamburg,,2016,2,17,18:51:38,elbphilharmonie hamburg,0.0,0.0,0.901517832448992
24839317104,65537816@N02,39515f56cc,1482,DSC_0510,,2016,3,3,13:24:39,building hamburg,0.0,0.0,0.9593779073460328
24948590816,96877131@N05,36e2df7e04,1631,Elbphilharmonie Hamburg,Elbphilharmonie Construction waterside view,2016,2,12,10:33:42,hamburg elbphilharmonie,53.541965,9.983396,0.8318500206295748
25003016321,99701406@N00,7444bce66b,1674,"Elbphilharmonie, Hamburg","Right on the waterfront of the river Elbe, on the western tip of the Hafen-City, Hamburg is building a new concert hall – the Elbphilharmonie. The glass structure is built upon the massive red brick construction of the former cocoa warehouse known as the Kaispeicher A and rises up to a height of 110 metres. 

The heart of the Elbphilharmonie, designed by Swiss architectural practice Herzog &amp; de Meuron, is the Grand Hall. This world-class concert hall with a seating capacity for 2,100 guests and a height of 50 meters will provide a spectacular stage for Hamburg's music scene.",2016,2,17,23:43:17,architecture germany deutschland hamburg herzogdemeuron hafencity concerthall elbphilharmonie,53.592504,10.019531,0.9795139893918029
25078296091,27184563@N02,ebde1f7042,1603,Elbphilharmonie,,2016,2,21,15:51:02,new eve trip travel light skyline boot licht nacht nye year hamburg u years michel hafen alster bahn sonne hafenrundfahrt kran schiff silvester speicherstadt elbe dunkel reeperbahn nachts binnenalster elb reeper rundfahrt elbphilharmonie elbphilhamoni,0.0,0.0,0.9811500034327703
25199610259,61035648@N00,d0fffddc12,1550,Elbphilharmonie,,2016,3,6,21:38:03,germany deutschland hamburg,0.0,0.0,0.9920093627217517
25199615279,61035648@N00,d7795bafae,1513,Elbphilharmonie,,2016,3,6,21:38:15,germany deutschland hamburg,0.0,0.0,0.7661557913328177
25352776029,146527184@N08,91481b86b7,5792,DSCF4604,,2016,11,14,22:27:54,hamburg speicherstadt port architecture brick building glas sea water,0.0,0.0,0.9989013085718371
25386116685,35430600@N06,b24eb75d99,1663,"Elbphilharmonie, Hamburg",,2016,2,29,22:05:07,trip germany deutschland hamburg hansa nord norddeutschland,53.541444,9.985397,0.6589525904102497
25388165099,149122995@N04,62b66847ab,5805,,,2016,11,16,12:28:41,hafen hamburg elbphilharmonie harbour deutschland germany north norden,0.0,0.0,0.9832710498637234
25388174479,149122995@N04,7bb4cc70e8,5544,,,2016,11,16,12:29:19,hafen hamburg elbphilharmonie harbour deutschland germany north norden,0.0,0.0,0.953349709670759
25403114304,57271616@N00,1217df2965,1562,Hamburg,,2016,3,24,18:01:44,hamburg,0.0,0.0,0.9347306336187983
25493981790,44174910@N05,d0d308a7a1,1584,,"elbphilharmonie
under construction
hamburg, germany

herzog &amp; de meuron
--
taken in march 2016",2016,3,14,21:29:45,film architecture germany hamburg nikonf herzogdemeuron,0.0,0.0,0.9127342692003053
25509748614,71093889@N02,0782751a17,1545,HH Außenalster und Speicherstadt,,2016,3,29,14:15:18,hamburg olympus speicherstadt aussenalster ausenalster kerkmannphoto,0.0,0.0,0.9381206876362705
25546737673,47224443@N02,8f03919a17,1655,Hamburg views: Elbphilharmonie,"recently I had the chance again to combine job needs and private interests...to stay in Hamburg - i love this city since many years, and I am a ship lover and ship spotter whenever I can: navigare necesse est!",2016,3,31,10:24:37,port ship harbour hamburg hafen schiff elbe navigarenecesseest elbphilharmonie,0.0,0.0,0.8323312327447366
25587985711,91288446@N06,4f7f8d63c9,1643,_DSC7753,                               ,2016,3,10,20:28:17,hamburg philharmonie loxia21,0.0,0.0,0.994258949741089
25638409461,46728491@N02,fcebf35611,1469,Trevor_2015_0125,"Tenor Trevor Pichanick in front of &quot;Hamburg Elbphilharmonie&quot;

",2016,3,12,19:33:56,portrait men germany deutschland outdoor trevor flash hamburg porträt onlocation elbe hamburgerhafen elbphilharmonie sandtorkai copyrightmichaelsuhl,0.0,0.0,0.9474300848640286
25661252642,63241514@N03,89d9b78b89,1503,under construction,Elbphilharmonie-Hamburg,2016,3,14,12:14:10,architecture germany square de deutschland europa europe hamburg baustelle architektur herzog hafen bau elbe fassade hafencity quadrat meuron elbphilharmonie splitti archtectur fassadengestaltung splitti68 splittstöser splittstoesser,0.0,0.0,0.9714407481793965
25673674312,44174910@N05,780b289143,1669,,"elbphilharmonie
under construction
hamburg, germany

herzog &amp; de meuron
--
taken in march 2016",2016,3,14,21:29:45,film architecture germany hamburg nikonf herzogdemeuron,0.0,0.0,0.9347753694077474
25740034834,29453011@N00,f55b5ae547,1616,New Opera house,,2016,4,10,11:55:22,germany hamburg,0.0,0.0,0.9956195072749995
25768452221,96840254@N08,8f839c4893,1595,elbphilharmonie,,2016,3,17,18:07:40,building architecture buildings de deutschland hamburg olympus architektur gebäude minimalismus elbphilharmonie olympusomdem1 olympusmzuikodigitaled40‑150mm140‑56r,53.540027,9.993569,0.9186692751337643
