ID,Owner,Secret,Server,Title,Description,Year,Month,Day,Time,Hashtags,Latitude,Longitude,Distance,Message,Message_en
23478091524,23392528@N02,05b376cac9,1676,Elbphilharmonie,,2016,1,1,15:55:37,germany deutschland harbor harbour crane hamburg hafen kran hamburgerhafen hafencity hanse hansestadt,53.542373,9.98228,38.069063087084714,"Elbphilharmonie 
  
 #germany #deutschland #harbor #harbour #crane #hamburg #hafen #kran #hamburgerhafen #hafencity #hanse #hansestadt","Elbphilharmonie
  
 #germany #deutschland #harbor #harbour #crane #hamburg #hafen #kran #hamburgerhafen #hafencity #hanse #hansestadt"
23667339084,100014906@N08,e0ac05bdd8,1555,IMG_6518.jpg,,2016,1,10,16:28:31,winter de deutschland wasser hamburg jahreszeiten natur orte hafen landungsbrücken verkehr städte elbe schiffe landschaften sehenswürdigkeiten flüsse fähren elbphilharmonie hamburgfreieundhansestadt,53.545272,9.966325,38.965066526611054,"IMG_6518.jpg 
  
 #winter #de #deutschland #wasser #hamburg #jahreszeiten #natur #orte #hafen #landungsbrücken #verkehr #städte #elbe #schiffe #landschaften #sehenswürdigkeiten #flüsse #fähren #elbphilharmonie #hamburgfreieundhansestadt","IMG_6518.jpg
  
 winter"
23807302693,130817067@N06,e3784cfa18,1595,Hamburg Elbphilharmonie,View on the Elbphilharmonie in Hamburg. shot while joining a boat tour in hamburg harbor with a Bronica 645RF.,2016,1,17,11:07:19,film analog hamburg bronicarf645 elbphilharmonie kodakektar frontiersp3000 meinfilmlab wwwmeinfilmlabde,0.0,0.0,31.494594098700645,"Hamburg Elbphilharmonie 
 View on the Elbphilharmonie in Hamburg. shot while joining a boat tour in hamburg harbor with a Bronica 645RF. 
 #film #analog #hamburg #bronicarf645 #elbphilharmonie #kodakektar #frontiersp3000 #meinfilmlab #wwwmeinfilmlabde","Hamburg Elbphilharmonie 
 View on the Elbphilharmonie in Hamburg. shot while joining a boat tour in hamburg harbor with a Bronica 645RF. 
 #film #analog #hamburg #bronicarf645 #elbphilharmonie #kodakektar #frontiersp3000 #meinfilmlab #wwwmeinfilmlabde"
23848482270,22422061@N06,778e2083cd,5629,Two Hamburg Icons,"MS Cap San Diego and the Elbphilharmonie / Opera House. While the one is retired and cruises just once a year on the Elbe, the other is not even being finished. Opening planned for 2017.",2016,1,3,09:52:23,germany nikon ship harbour hamburg hafen d800 70200mm capsandiego elbphilharmonie,0.0,0.0,37.9866799525596,"Two Hamburg Icons 
 MS Cap San Diego and the Elbphilharmonie / Opera House. While the one is retired and cruises just once a year on the Elbe, the other is not even being finished. Opening planned for 2017. 
 #germany #nikon #ship #harbour #hamburg #hafen #d800 #70200mm #capsandiego #elbphilharmonie","Two Hamburg Icons 
 MS Cap San Diego and the Elbphilharmonie / Opera House. While the one is retired and cruises just once a year on the Elbe, the other is not even being finished. Opening planned for 2017. 
 #germany #nikon #ship #harbour #hamburg #hafen #d800 #70200mm #capsandiego #elbphilharmonie"
23878505104,111642264@N04,e178916255,1646,Noch ein Jahr....,...bis zur Eröffnung!,2016,1,20,21:08:04,hamburg grasbrook hamburgerhafen hafencity kaispeichera elbphilharmonie konzertsaal 789mio,0.0,0.0,29.52904002003947,"Noch ein Jahr.... 
 ...bis zur Eröffnung! 
 #hamburg #grasbrook #hamburgerhafen #hafencity #kaispeichera #elbphilharmonie #konzertsaal #789mio","Another year....
 ... until the opening!
 #hamburg #grasbrook #hamburgerhafen #hafencity #kaispeichera #elbphilharmonie #konzertsaal # 789mio"
23999714030,75228329@N02,da87d1c511,1704,DSC_3219,,2016,1,10,16:23:37,harbour hamburg hafen elbe elbphilarmonie,0.0,0.0,37.14386690776223,"DSC_3219 
  
 #harbour #hamburg #hafen #elbe #elbphilarmonie","DSC_3219
  
 #harbour #hamburg #hafen #elbe #elbphilarmonie"
24052336881,53696055@N00,9c7759bf51,1697,DSCF3821,,2016,1,2,23:33:50,hamburg,0.0,0.0,24.38760104961807,"DSCF3821 
  
 #hamburg","DSCF3821
  
 #Hamburg"
24067322431,23733615@N07,5060a098aa,1644,Hamburg,Impressionen aus Hamburg -,2016,1,3,15:51:05,hamburg 2015 riesenfotos,0.0,0.0,32.01226237185915,"Hamburg 
 Impressionen aus Hamburg - 
 #hamburg #2015 #riesenfotos","Hamburg
 Impressions from Hamburg -
 #hamburg # 2015 #giant photos"
24105873790,138576623@N02,0fbc034ff6,1700,DSC03381,,2016,1,15,20:56:34,germany deutschland hamburg германия гамбург німеччина,0.0,0.0,35.353132041901745,"DSC03381 
  
 #germany #deutschland #hamburg #германия #гамбург #німеччина","DSC03381
  
 #germany #deutschland #hamburg #germany #hamburg #germany"
24105885240,138576623@N02,e2db13c3ac,1491,.,".
",2016,1,15,20:56:33,germany deutschland hamburg германия гамбург німеччина,0.0,0.0,32.96288250795328,". 
 .
 
 #germany #deutschland #hamburg #германия #гамбург #німеччина",".
 .
 
 #germany #deutschland #hamburg #germany #hamburg #germany"
